Date,Close
2023-12-22,193.6
2023-12-26,193.05
2023-12-27,193.15
2023-12-28,193.58
2023-12-29,192.53
2024-1-2,185.64
2024-1-3,184.25
2024-1-4,181.91
2024-1-5,181.18
2024-1-8,185.56
2024-1-9,185.14
2024-1-10,186.19
2024-1-11,185.59
2024-1-12,185.92
2024-1-16,183.63
2024-1-17,182.68
2024-1-18,188.63
2024-1-19,191.56
2024-1-22,193.89
2024-1-23,195.18
2024-1-24,194.5
2024-1-25,194.17
2024-1-26,192.42
2024-1-29,191.73
2024-1-30,188.04
2024-1-31,184.4
2024-2-1,186.86
2024-2-2,185.85
2024-2-5,187.68
2024-2-6,189.3
2024-2-7,189.41
2024-2-8,188.32
2024-2-9,188.85
2024-2-12,187.15
2024-2-13,185.04
2024-2-14,184.15
2024-2-15,183.86
2024-2-16,182.31
2024-2-20,181.56
2024-2-21,182.32
2024-2-22,184.37
2024-2-23,182.52
2024-2-26,181.16
2024-2-27,182.63
2024-2-28,181.42
2024-2-29,180.75
2024-3-1,179.66
2024-3-4,175.1
2024-3-5,170.12
2024-3-6,169.12
2024-3-7,169.0
2024-3-8,170.73
2024-3-11,172.75
2024-3-12,173.23
2024-3-13,171.13
2024-3-14,173.0
2024-3-15,172.62
2024-3-18,173.72
2024-3-19,176.08
2024-3-20,178.67
2024-3-21,171.37
2024-3-22,172.28
2024-3-25,170.85
2024-3-26,169.71
2024-3-27,173.31
2024-3-28,171.48
2024-4-1,170.03
2024-4-2,168.84
2024-4-3,169.65
2024-4-4,168.82
2024-4-5,169.58
2024-4-8,168.45
2024-4-9,169.67
2024-4-10,167.78
2024-4-11,175.04
2024-4-12,176.55
2024-4-15,172.69
2024-4-16,169.38
2024-4-17,168.0
2024-4-18,167.04
2024-4-19,165.0
2024-4-22,165.84
2024-4-23,166.9
2024-4-24,169.02
2024-4-25,169.89
2024-4-26,169.3
2024-4-29,173.5
2024-4-30,170.33
2024-5-1,169.3
2024-5-2,173.03
2024-5-3,183.38
2024-5-6,181.71
2024-5-7,182.4
2024-5-8,182.74
2024-5-9,184.57
2024-5-10,183.05
2024-5-13,186.28
2024-5-14,187.43
2024-5-15,189.72
2024-5-16,189.84
